timestamp,tail,owner,airport,airport_name,leg
2023-06-15,N628TS,Elon Musk,AUS,Austin International Airport,departure
2023-06-15,N628TS,Elon Musk,CIA,Ciampino Airport,arrival
2023-06-10,N628TS,Elon Musk,SJC,San Jose International Airport,departure
2023-06-10,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2023-06-08,N628TS,Elon Musk,AUS,Austin International Airport,departure
2023-06-08,N628TS,Elon Musk,SJC,San Jose International Airport,arrival
2023-06-08,N628TS,Elon Musk,BRO,Brownsville South Padre Island International Airport,departure
2023-06-08,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2023-06-07,N628TS,Elon Musk,AUS,Austin International Airport,departure
2023-06-07,N628TS,Elon Musk,BRO,Brownsville South Padre Island International Airport,arrival
2023-06-02,N628TS,Elon Musk,PVG,Shanghai Pudong International Airport,departure
